title,price,rating,image_url
"BenQ GW2490 24"" Computer Monitor 100Hz FHD 1920x1080p | IPS | Eye-Care Tech | VESA Mount |Thin Bezel | Low Blue Light| Adaptive Brightness| Wall Mount | Built-in Speakers | DisplayPort | HDMI x 2",Not available,4.6,https://m.media-amazon.com/images/I/71tpIxRlEeL._AC_UY218_.jpg
"Z-Edge 24-inch Curved Gaming Monitor, Full HD 1080P 1920x1080 LED Backlight Monitor, with 75Hz Refresh Rate and Eye-Care Technology, U24C 178° Wide View Angle, VGA+HDMI",,4.3,https://m.media-amazon.com/images/I/71OxjP2SN6L._AC_UY218_.jpg
"15.6"" Portable Monitor Full HD 1080p, USB-C & HDMI Connectivity, Ultra-Slim Design, Built-in Speakers, Compatible with Laptop, PC, Gaming Consoles",$109.99,No rating,https://m.media-amazon.com/images/I/71rpoDUjAkL._AC_UY218_.jpg
"ASUS ROG Strix 27” 1440P OLED Gaming Monitor (XG27ACDNG) - QD-OLED, QHD (2560 x 1440), 360Hz, 0.03ms, Custom Heatsink, OLED Care+, G-SYNC Compatible, 99% DCI-P3, DisplayWidget, AI Gaming, 3yr warranty",,4.4,https://m.media-amazon.com/images/I/91M-PO0wxJL._AC_UY218_.jpg
LG 32GS60QC-B Ultragear 32-inch Curved Gaming Monitor QHD (2560x1440) 180Hz 1ms 1000R AMD FreeSync HDR10 HDMIx2 DisplayPort Black,,4.5,https://m.media-amazon.com/images/I/817XWYfk3xL._AC_UY218_.jpg
"ASUS TUF Gaming 27” 1440P HDR Monitor (VG27AQ3A) – QHD (2560 x 1440), 180Hz, 1ms, Fast IPS, 130% sRGB, Extreme Low Motion Blur Sync, Speakers, Freesync Premium, G-SYNC Compatible, HDMI, DisplayPort",Not available,4.5,https://m.media-amazon.com/images/I/71awxc1RPRL._AC_UY218_.jpg
"ASUS 22” (21.45"" viewable) Eye Care Monitor (VY229HF) - Full HD, IPS, 100Hz, 1ms, SmoothMotion, Adaptive Sync, Eye Care Plus Technology, Blue Light Filter, Flicker Free, Tilt 3 yr Warranty",Not available,4.6,https://m.media-amazon.com/images/I/718wIlaVFaL._AC_UY218_.jpg
"Dell S2421HS Full HD 1920 x 1080, 24-Inch 1080p LED, 75Hz, Desktop Monitor with Adjustable Stand, 4ms Grey-to-Grey Response Time, AMD FreeSync, IPS Technology, HDMI, DisplayPort, Silver, 24.0"" FHD",Not available,4.6,https://m.media-amazon.com/images/I/819JqXZ2+SL._AC_UY218_.jpg
SANSUI 27 Inch Curved Gaming Monitor 180Hz 1ms with Speakers FHD 1080P Computer Monitor FreeSync|1500R|130% sRGB|HDR|Low Blue Light|HDMI DP Ports|VESA Mount|Metal Stand(ES-G27C1 HDMI Cable Included),,4.4,https://m.media-amazon.com/images/I/714XKWYN+YL._AC_UY218_.jpg
"AOC 22B2HM2 22"" Full HD (1920 x 1080) 100Hz LED Monitor, Adaptive Sync, VGA x1, HDMI x1, Flicker-Free, Low Blue Light, HDR Ready, VESA, Tilt Adjust, Earphone Out, Eco-Friendly",Not available,4.6,https://m.media-amazon.com/images/I/61HtQ-bwDVL._AC_UY218_.jpg
LG 32UR500K-B Ultrafine 32-inch 4K UHD (3840x2160) Computer Monitor HDR10 Built-in Speaker x2 OnScreen Control Reader Mode Flicker Safe Borderless Design HDMIx2 DisplayPort Black,,4.4,https://m.media-amazon.com/images/I/71LYqY4KW7L._AC_UY218_.jpg
"ASUS ROG Strix 27” 1440P OLED Gaming Monitor (XG27AQDMG) - QHD, Glossy OLED, 240Hz, 0.03ms, Custom Heatsink, Anti-Flicker,Uniform Brightness, G-SYNC Compatible, 99% DCI-P3, DisplayWidget,",,4.5,https://m.media-amazon.com/images/I/91eUkKyFCPL._AC_UY218_.jpg
"Alienware AW3423DWF Curved QD-OLED Gaming Monitor - 34-inch Quantum Dot OLED 0.1Ms 165Hz 21:9 Curved Display, 99.3% DCI-P3 Color Gamut, VESA DisplayHDR True Black 400, AMD FreeSync Premium Pro - Black",Not available,4.3,https://m.media-amazon.com/images/I/61TLaeZDe0L._AC_UY218_.jpg
"SAMSUNG 27-Inch ViewFinity S7 (S70D) Series 4K UHD High Resolution Monitor with HDR10, Multiple Ports, Easy Setup Stand, Advanced Eye Care, LS27D702EANXGO, 2024",,4.2,https://m.media-amazon.com/images/I/61CeL9O2BYL._AC_UY218_.jpg
"24 Inch Monitor - FHD 1080p 100Hz (Supports 75hz) Computer Monitor 24 inch with Bluelight Filter HDMI VGA Ports, 100x100 mm Wall Mountable",,4.4,https://m.media-amazon.com/images/I/81-mpLNYhNL._AC_UY218_.jpg
"SANSUI Gaming Monitor 27 inch 165Hz 1ms PC Gaming Computer Monitor -FHD 1080P丨AMD FreeSync丨2 x HDMI 2.0丨1 x Display Port 1.4丨IPS丨Blacklevel Adjust丨VESA Compatible,Black (ES-G27F2)",,4.4,https://m.media-amazon.com/images/I/71SNbu91HxL._AC_UY218_.jpg
"Acer SB240Y G0bi 23.8"" IPS Full HD Ultra-Slim Edge-to-Edge Gaming Office Monitor | Adaptive-Sync Support (FreeSync Compatible) | Up to 120Hz Refresh | 1ms (VRB) | Tilt | HDMI & VGA Ports | Black",,4.4,https://m.media-amazon.com/images/I/81aRnzRkLSL._AC_UY218_.jpg
